plz,min_date,max_date,lat,lon,state
97084,2021-07-08T15:00:00.000000,2023-07-07T00:00:00.000000,49.7685,9.9382,BY
10963,2023-01-10T13:00:00.000000,2023-09-21T08:00:00.000000,52.5003,13.3813,BE
91054,2021-08-13T13:00:00.000000,2023-09-18T15:00:00.000000,49.596,11.02955,BY
97074,2021-05-06T14:00:00.000000,2023-09-13T06:00:00.000000,49.7802,9.9416,BY
22419,2021-10-04T10:00:00.000000,2023-09-21T10:00:00.000000,53.6648,10.007,HH
95447,2021-08-13T13:00:00.000000,2023-01-31T09:00:00.000000,49.9481,11.5783,BY
22846,2022-08-23T06:00:00.000000,2025-04-22T11:00:00.000000,53.7099,9.9946,SH
20539,2022-01-24T13:00:00.000000,2023-09-21T08:00:00.000000,53.52602,10.02002,HH
10249,2022-10-19T13:00:00.000000,2023-09-13T10:00:00.000000,52.5238,13.4428,BE
22850,2022-09-30T10:00:00.000000,2025-04-22T11:00:00.000000,53.6855,9.9976,SH
22844,2022-08-23T08:00:00.000000,2025-04-22T11:00:00.000000,53.7246,10.0124,SH
12681,2023-01-01T01:00:00.000000,2023-09-09T14:00:00.000000,52.5369,13.5367,BE
97082,2022-04-04T13:00:00.000000,2023-09-12T15:00:00.000000,49.7899,9.9206,BY
21077,2022-08-31T22:00:00.000000,2023-09-25T07:00:00.000000,53.43537142857143,9.973928571428573,HH
